#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
,"
North America
","124,656,575",,"1,611,890",,"119,889,083","+1,530","3,155,602","7,681",,,,,,North America,"
",,,,,,2023-03-02
,"
Asia
","214,377,751","+21,797","1,536,827",+50,"199,020,215","+31,624","13,820,709","15,485",,,,,,Asia,"
",,,,,,2023-03-02
,"
Europe
","246,390,097","+18,589","2,017,639",+68,"241,956,714","+36,714","2,415,744","6,489",,,,,,Europe,"
",,,,,,2023-03-02
,"
South America
","68,023,599",+248,"1,350,756",+9,"66,282,690",+319,"390,153","10,190",,,,,,South America,"
",,,,,,2023-03-02
,"
Oceania
","13,996,345",,"26,116",,"13,834,566",,"135,663",64,,,,,,Australia/Oceania,"
",,,,,,2023-03-02
,"
Africa
","12,795,069",,"258,590",,"12,076,113",,"460,366",548,,,,,,Africa,"
",,,,,,2023-03-02
,"

",721,,15,,706,,0,0,,,,,,,"
",,,,,,2023-03-02
,World,"680,240,157","+40,634","6,801,833",+127,"653,060,087","+70,185","20,378,237","40,457","87,268",872.6,,,,All,"
",,,,,,2023-03-02
1,USA,"105,345,992",,"1,146,142                                ",,"102,747,004",,"1,452,846","2,515","314,649","3,423","1,167,210,022","3,486,236","334,805,269 ",North America,3,292,0,,,"4,339",2023-03-02
2,India,"44,686,879",,"530,772                                ",,"44,153,668",,"2,439",N/A,"31,769",377,"918,794,368","653,188","1,406,631,776 ",Asia,31,"2,650",2,,,2,2023-03-02
3,France,"39,626,756",,"164,988                                ",,"39,390,773",,"70,995",869,"604,209","2,516","271,490,188","4,139,547","65,584,518 ",Europe,2,398,0,,,"1,082",2023-03-02
4,Germany,"38,189,954",,"168,175                                ",,"37,729,600","+13,900","292,179",N/A,"455,273","2,005","122,332,384","1,458,359","83,883,596 ",Europe,2,499,1,,,"3,483",2023-03-02
5,Brazil,"37,063,464",,"699,197                                ",,"36,241,001",,"123,266",N/A,"172,105","3,247","63,776,166","296,146","215,353,593 ",South America,6,308,3,,,572,2023-03-02
6,Japan,"33,219,038",,"72,486                                ",,"21,685,717",,"11,460,835",160,"264,515",577,"95,253,685","758,481","125,584,838 ",Asia,4,"1,733",1,,,"91,260",2023-03-02
7,S. Korea,"30,533,573","+7,561","34,003                                ",+15,"30,316,211","+12,040","183,359",129,"594,850",662,"15,804,065","307,892","51,329,899 ",Asia,2,"1,510",3,147,0.3,"3,572",2023-03-02
8,Italy,"25,576,852",,"188,094                                ",,"25,219,653",,"169,105",133,"424,422","3,121","267,663,187","4,441,601","60,262,770 ",Europe,2,320,0,,,"2,806",2023-03-02
9,UK,"24,341,615",,"206,246                                ",,"24,094,535","+3,210","40,834",N/A,"355,363","3,011","522,526,476","7,628,357","68,497,907 ",Europe,3,332,0,,,596,2023-03-02
10,Russia,"22,300,004","+14,096","396,176                                ",+39,"21,645,346","+13,937","258,482",N/A,"152,943","2,717","273,400,000","1,875,095","145,805,947 ",Europe,7,368,1,97,0.3,"1,773",2023-03-02
11,Turkey,"17,042,722",,"101,492                                ",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976 ",Asia,5,843,1,,,"1,819",2023-03-02
12,Spain,"13,763,336",,"119,380                                ",,"13,607,068",,"36,888",231,"294,597","2,555","471,036,328","10,082,298","46,719,142 ",Europe,3,391,0,,,790,2023-03-02
13,Vietnam,"11,526,926",,"43,186                                ",,"10,614,777",,"868,963",2,"116,488",436,"85,826,548","867,342","98,953,541 ",Asia,9,"2,291",1,,,"8,782",2023-03-02
14,Australia,"11,366,361",,"19,373                                ",,"11,314,814",,"32,174",36,"436,014",743,"78,835,048","3,024,116","26,068,792 ",Australia/Oceania,2,"1,346",0,,,"1,234",2023-03-02
15,Taiwan,"10,069,539","+14,103","18,010                                ",+35,"9,755,633","+19,583","295,896",,"421,521",754,"30,742,304","1,286,903","23,888,595 ",Asia,2,"1,326",1,590,1,"12,386",2023-03-02
16,Argentina,"10,044,125",,"130,463                                ",,"9,909,866",,"3,796",363,"218,302","2,836","35,716,069","776,264","46,010,234 ",South America,5,353,1,,,83,2023-03-02
17,Netherlands,"8,596,296",,"22,992                                ",,"8,559,002",+186,"14,302",53,"499,452","1,336","25,984,435","1,509,718","17,211,447 ",Europe,2,749,1,,,831,2023-03-02
18,Iran,"7,568,903",,"144,858                                ",,"7,339,457",,"84,588",301,"87,987","1,684","55,034,937","639,771","86,022,837 ",Asia,11,594,2,,,983,2023-03-02
19,Mexico,"7,451,429",,"332,988                                ",,"6,690,914",,"427,527",N/A,"56,638","2,531","19,572,325","148,768","131,562,772 ",North America,18,395,7,,,"3,250",2023-03-02
20,Indonesia,"6,736,298",,"160,916                                ",,"6,571,845",,"3,537",N/A,"24,133",576,"114,158,919","408,975","279,134,505 ",Asia,41,"1,735",2,,,13,2023-03-02
21,Poland,"6,425,500","+3,036","118,924                                ",+26,"5,335,940",,"970,636",696,"170,258","3,151","38,288,150","1,014,530","37,739,785 ",Europe,6,317,1,80,0.7,"25,719",2023-03-02
22,Colombia,"6,360,089",,"142,629                                ",,"6,183,658",,"33,802",342,"123,466","2,769","36,951,507","717,327","51,512,762 ",South America,8,361,1,,,656,2023-03-02
23,Austria,"5,919,616",,"21,891                                ",,"5,840,825",,"56,900",86,"652,896","2,414","211,273,524","23,302,116","9,066,710 ",Europe,2,414,0,,,"6,276",2023-03-02
24,Greece,"5,871,458",,"36,185                                ",,"5,806,578","+1,598","28,695",115,"569,125","3,507","102,228,365","9,909,078","10,316,637 ",Europe,2,285,0,,,"2,781",2023-03-02
25,Portugal,"5,568,084",,"26,180                                ",,"5,537,727",,"4,177",61,"549,090","2,582","45,980,330","4,534,294","10,140,570 ",Europe,2,387,0,,,412,2023-03-02
26,Ukraine,"5,389,439",,"111,235                                ",,"5,265,637",,"12,567",,"124,778","2,575","32,603,805","754,855","43,192,122 ",Europe,8,388,1,,,291,2023-03-02
27,Chile,"5,169,139",,"64,177                                ",,"5,099,538",,"5,424",85,"268,524","3,334","48,454,162","2,517,074","19,250,195 ",South America,4,300,0,,,282,2023-03-02
28,Malaysia,"5,043,008",,"36,960                                ",,"4,996,818",,"9,230",7,"151,984","1,114","68,198,303","2,055,338","33,181,072 ",Asia,7,898,0,,,278,2023-03-02
29,Israel,"4,799,640",,"12,292                                ",,"4,781,252",,"6,096",57,"514,652","1,318","41,373,364","4,436,346","9,326,000 ",Asia,2,759,0,,,654,2023-03-02
30,DPRK,"4,772,813",,74                                ,,"4,772,739",,0,,"183,636",3,,,"25,990,679 ",Asia,5,"351,225",,,,,2023-03-02
31,Thailand,"4,728,035",,"33,911                                ",,"4,692,636",,"1,488",N/A,"67,468",484,"17,270,775","246,450","70,078,203 ",Asia,15,"2,067",4,,,21,2023-03-02
32,Belgium,"4,717,655",,"33,717                                ",,"4,660,013",+558,"23,925",43,"404,315","2,890","36,709,556","3,146,099","11,668,278 ",Europe,2,346,0,,,"2,050",2023-03-02
33,Czechia,"4,611,985",+979,"42,446                                ",+1,"4,558,503",+173,"11,036",36,"429,550","3,953","57,008,620","5,309,655","10,736,784 ",Europe,2,253,0,91,0.09,"1,028",2023-03-02
34,Canada,"4,591,149",,"51,249                                ",,"4,502,066","+1,530","37,834",99,"119,597","1,335","66,343,123","1,728,207","38,388,419 ",North America,8,749,1,,,986,2023-03-02
35,Peru,"4,486,282",+248,"219,448                                ",+9,"4,264,923",+325,"1,911",36,"133,187","6,515","38,053,752","1,129,721","33,684,208 ",South America,8,153,1,7,0.3,57,2023-03-02
36,Switzerland,"4,389,655",,"14,452                                ",,"4,373,026","+1,777","2,177",39,"500,323","1,647","23,833,472","2,716,487","8,773,637 ",Europe,2,607,0,,,248,2023-03-02
37,Philippines,"4,076,418",,"66,118                                ",,"4,001,070",,"9,230",162,"36,232",588,"34,603,075","307,558","112,508,994 ",Asia,28,"1,702",3,,,82,2023-03-02
38,South Africa,"4,063,863",,"102,595                                ",,"3,912,506",,"48,762",192,"66,888","1,689","26,795,090","441,027","60,756,135 ",Africa,15,592,2,,,803,2023-03-02
39,Romania,"3,340,342",,"67,704                                ",,"3,263,301",,"9,337",115,"175,518","3,558","26,676,248","1,401,701","19,031,335 ",Europe,6,281,1,,,491,2023-03-02
40,Denmark,"3,175,264",,"8,269                                ",,"3,166,076",,919,19,"544,180","1,417","129,197,382","22,141,986","5,834,950 ",Europe,2,706,0,,,157,2023-03-02
41,Hong Kong,"2,883,453",,"13,460                                ",,"2,848,852",,"21,141",28,"379,187","1,770","76,127,725","10,011,143","7,604,299 ",Asia,3,565,0,,,"2,780",2023-03-02
42,Sweden,"2,697,827",,"23,633                                ",,"2,670,838",+191,"3,356",9,"264,002","2,313","19,469,139","1,905,196","10,218,971 ",Europe,4,432,1,,,328,2023-03-02
43,Serbia,"2,492,563",,"17,826                                ",,"2,461,477",+573,"13,260",16,"288,057","2,060","12,396,861","1,432,664","8,653,016 ",Europe,3,485,1,,,"1,532",2023-03-02
44,Iraq,"2,465,545",,"25,375                                ",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965 ",Asia,17,"1,662",2,,,16,2023-03-02
45,Singapore,"2,222,006",,"1,722                                ",,"2,149,583",,"70,701",1,"373,852",290,"24,756,666","4,165,302","5,943,546 ",Asia,3,"3,452",0,,,"11,895",2023-03-02
46,New Zealand,"2,216,852",,"3,904                                ",,"2,205,354",,"7,594",,"452,585",797,"7,768,604","1,586,011","4,898,203 ",Australia/Oceania,2,"1,255",1,,,"1,550",2023-03-02
47,Hungary,"2,195,926",,"48,751                                ",,"2,143,184",,"3,991",13,"228,593","5,075","11,394,556","1,186,160","9,606,259 ",Europe,4,197,1,,,415,2023-03-02
48,Bangladesh,"2,037,829",,"29,445                                ",,"1,998,448",,"9,936",N/A,"12,138",175,"15,254,399","90,862","167,885,689 ",Asia,82,"5,702",11,,,59,2023-03-02
49,Slovakia,"1,863,115",+93,"21,026                                ",+2,"1,840,899",+90,"1,190",20,"341,218","3,851","7,404,376","1,356,065","5,460,193 ",Europe,3,260,1,17,0.4,218,2023-03-02
50,Georgia,"1,825,598",,"16,965                                ",,"1,776,548",,"32,085",,"459,995","4,275","16,920,079","4,263,340","3,968,738 ",Asia,2,234,0,,,"8,084",2023-03-02
51,Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869 ",Asia,6,729,1,,,181,2023-03-02
52,Ireland,"1,703,850",,"8,691                                ",,"1,692,464",+276,"2,695",11,"339,399","1,731","13,024,205","2,594,360","5,020,199 ",Europe,3,578,0,,,537,2023-03-02
53,Pakistan,"1,577,031",+32,"30,643                                ",,"1,538,689",,"7,699",12,"6,872",134,"30,570,862","133,213","229,488,994 ",Asia,146,"7,489",8,0.1,,34,2023-03-02
54,Norway,"1,479,087",,"5,175                                ",,"1,473,220",,692,20,"268,370",939,"11,002,430","1,996,315","5,511,370 ",Europe,4,"1,065",1,,,126,2023-03-02
55,Finland,"1,462,169",,"8,892                                ",,"1,451,911",+47,"1,366",21,"263,219","1,601","12,047,792","2,168,835","5,554,960 ",Europe,4,625,0,,,246,2023-03-02
56,Kazakhstan,"1,408,038",+96,"13,846                                ",,"1,383,020",,"11,172",24,"73,316",721,"11,575,012","602,707","19,205,043 ",Asia,14,"1,387",2,5,,582,2023-03-02
57,Slovenia,"1,328,673",,"7,071                                ",,"1,317,563",,"4,039",6,"639,389","3,403","2,837,735","1,365,586","2,078,034 ",Europe,2,294,1,,,"1,944",2023-03-02
58,Lithuania,"1,305,543",+365,"9,589                                ",,"1,290,063",+335,"5,891",6,"490,491","3,603","10,380,567","3,899,965","2,661,708 ",Europe,2,278,0,137,,"2,213",2023-03-02
59,Bulgaria,"1,296,853",,"38,217                                ",,"1,255,662",,"2,974",27,"189,471","5,584","11,055,587","1,615,228","6,844,597 ",Europe,5,179,1,,,435,2023-03-02
60,Morocco,"1,272,459",,"16,296                                ",,"1,256,097",,66,3,"33,687",431,"12,984,777","343,760","37,772,756 ",Africa,30,"2,318",3,,,2,2023-03-02
61,Croatia,"1,268,992",,"17,971                                ",,"1,250,549",,472,10,"312,615","4,427","5,503,682","1,355,825","4,059,286 ",Europe,3,226,1,,,116,2023-03-02
62,Guatemala,"1,236,778",,"20,176                                ",,"1,215,452",,"1,150",5,"66,551","1,086","6,934,193","373,126","18,584,039 ",North America,15,921,3,,,62,2023-03-02
63,Lebanon,"1,232,063",,"10,832                                ",,"1,087,587",,"133,644",74,"184,307","1,620","4,795,578","717,380","6,684,849 ",Asia,5,617,1,,,"19,992",2023-03-02
64,Costa Rica,"1,204,164",,"9,230                                ",,"860,711",,"334,223",52,"232,358","1,781","4,659,757","899,158","5,182,354 ",North America,4,561,1,,,"64,493",2023-03-02
65,Bolivia,"1,193,256",,"22,365                                ",,"1,158,072",,"12,819",220,"99,499","1,865","2,705,422","225,590","11,992,656 ",South America,10,536,4,,,"1,069",2023-03-02
66,Tunisia,"1,150,962",,"29,331                                ",,N/A,N/A,N/A,44,"95,542","2,435","5,002,248","415,240","12,046,656 ",Africa,10,411,2,,,965,2023-03-02
67,Cuba,"1,112,603",,"8,530                                ",,"1,103,980",,93,2,"98,411",754,"14,318,158","1,266,460","11,305,652 ",North America,10,"1,325",1,,,8,2023-03-02
68,Ecuador,"1,057,121",,"36,014                                ",,"1,020,564",,543,759,"58,361","1,988","3,082,403","170,173","18,113,361 ",South America,17,503,6,,,30,2023-03-02
69,UAE,"1,052,029",,"2,349                                ",,"1,035,173",,"14,507",,"104,349",233,"199,225,612","19,760,946","10,081,785 ",Asia,10,"4,292",0,,,"1,439",2023-03-02
70,Uruguay,"1,034,303",,"7,617                                ",,"1,026,186",,500,18,"295,852","2,179","6,114,822","1,749,083","3,496,016 ",South America,3,459,1,,,143,2023-03-02
71,Panama,"1,031,273",,"8,604                                ",,"1,022,299",,370,16,"231,905","1,935","7,532,271","1,693,801","4,446,964 ",North America,4,517,1,,,83,2023-03-02
72,Mongolia,"1,007,897",,"2,179                                ",,"1,005,711",,7,192,"298,364",645,"4,030,048","1,193,000","3,378,078 ",Asia,3,"1,550",1,,,2,2023-03-02
73,Nepal,"1,001,149",+1,"12,020                                ",,"989,120",+3,9,,"33,123",398,"6,013,833","198,965","30,225,582 ",Asia,30,"2,515",5,0.03,,0.3,2023-03-02
74,Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800 ",Europe,9,"1,325",1,,,141,2023-03-02
75,Latvia,"976,051",+20,"6,242                                ",,"969,485",+18,324,13,"527,927","3,376","7,865,040","4,254,047","1,848,837 ",Europe,2,296,0,11,,175,2023-03-02
76,Saudi Arabia,"829,554",,"9,615                                ",,"816,776",,"3,163",38,"23,143",268,"45,148,294","1,259,546","35,844,909 ",Asia,43,"3,728",1,,,88,2023-03-02
77,Azerbaijan,"828,588",,"10,119                                ",,"818,310",,159,,"80,444",982,"7,526,899","730,752","10,300,205 ",Asia,12,"1,018",1,,,15,2023-03-02
78,Paraguay,"808,327",,"19,870                                ",,N/A,N/A,N/A,7,"110,641","2,720","2,657,506","363,751","7,305,843 ",South America,9,368,3,,,"12,338",2023-03-02
79,Bahrain,"707,828",,"1,549                                ",,"706,013",,266,6,"396,768",868,"10,739,428","6,019,916","1,783,983 ",Asia,3,"1,152",0,,,149,2023-03-02
80,Sri Lanka,"672,031",,"16,830                                ",,"655,199",,2,,"31,147",780,"6,486,117","300,619","21,575,842 ",Asia,32,"1,282",3,,,0.09,2023-03-02
81,Kuwait,"663,456",,"2,570                                ",,"660,237",,649,,"151,463",587,"8,455,743","1,930,391","4,380,326 ",Asia,7,"1,704",1,,,148,2023-03-02
82,Dominican Republic,"660,705",,"4,384                                ",,"644,785",,"11,536",4,"59,758",397,"3,740,928","338,350","11,056,370 ",North America,17,"2,522",3,,,"1,043",2023-03-02
83,Cyprus,"649,093",,"1,305                                ",,"642,855",,"4,933",60,"530,570","1,067","9,640,118","7,879,860","1,223,387 ",Asia,2,937,0,,,"4,032",2023-03-02
84,Myanmar,"633,925",,"19,490                                ",,"614,400",,35,,"11,479",353,"10,057,159","182,105","55,227,143 ",Asia,87,"2,834",5,,,0.6,2023-03-02
85,Palestine,"621,008",,"5,404                                ",,"615,445",,159,17,"116,173","1,011","3,078,533","575,907","5,345,541 ",Asia,9,989,2,,,30,2023-03-02
86,Estonia,"615,119",,"2,940                                ",,"524,990",,"87,189",3,"465,326","2,224","3,675,293","2,780,290","1,321,910 ",Europe,2,450,0,,,"65,957",2023-03-02
87,Moldova,"607,450",,"11,988                                ",,"504,142",,"91,320",49,"151,364","2,987","3,216,305","801,437","4,013,171 ",Europe,7,335,1,,,"22,755",2023-03-02
88,Venezuela,"551,986",,"5,854                                ",,"545,878",,254,36,"18,860",200,"3,359,014","114,771","29,266,991 ",South America,53,"4,999",9,,,9,2023-03-02
89,Egypt,"515,698",,"24,613                                ",,"442,182",,"48,903",122,"4,858",232,"3,693,367","34,792","106,156,692 ",Africa,206,"4,313",29,,,461,2023-03-02
90,Libya,"507,174",,"6,437                                ",,"500,734",,3,,"72,034",914,"2,483,676","352,758","7,040,745 ",Africa,14,"1,094",3,,,0.4,2023-03-02
91,Ethiopia,"499,986",,"7,572                                ",,"487,246",,"5,168",1,"4,139",63,"5,488,633","45,431","120,812,698 ",Africa,242,"15,955",22,,,43,2023-03-02
92,Qatar,"494,271",,686                                ,,"493,138",,447,30,"165,867",230,"4,065,369","1,364,257","2,979,915 ",Asia,6,"4,344",1,,,150,2023-03-02
93,Réunion,"486,588",,921                                ,,"418,572",,"67,095",10,"535,854","1,014","1,603,660","1,766,027","908,061 ",Africa,2,986,1,,,"73,888",2023-03-02
94,Honduras,"472,116",,"11,111                                ",,N/A,N/A,N/A,105,"46,190","1,087","1,633,222","159,787","10,221,247 ",North America,22,920,6,,,"32,135",2023-03-02
95,Armenia,"446,819",,"8,721                                ",,"435,162",,"2,936",,"150,345","2,934","3,242,901","1,091,164","2,971,966 ",Asia,7,341,1,,,988,2023-03-02
96,Bosnia and Herzegovina,"401,636",,"16,279                                ",,"379,084",,"6,273",,"123,606","5,010","1,884,721","580,036","3,249,317 ",Europe,8,200,2,,,"1,931",2023-03-02
97,Oman,"399,449",,"4,628                                ",,"384,669",,"10,152",2,"75,028",869,"25,000,000","4,695,724","5,323,993 ",Asia,13,"1,150",0,,,"1,907",2023-03-02
98,North Macedonia,"346,852",,"9,662                                ",,"337,068",,122,,"166,651","4,642","2,226,216","1,069,626","2,081,304 ",Europe,6,215,1,,,59,2023-03-02
99,Zambia,"343,012",,"4,057                                ",,"338,660",,295,,"17,617",208,"3,934,010","202,053","19,470,234 ",Africa,57,"4,799",5,,,15,2023-03-02
100,Kenya,"342,919",,"5,688                                ",,"337,216",,15,1,"6,100",101,"3,967,062","70,569","56,215,221 ",Africa,164,"9,883",14,,,0.3,2023-03-02
101,Albania,"334,408",,"3,596                                ",,"329,152",,"1,660",,"116,666","1,255","1,941,032","677,173","2,866,374 ",Europe,9,797,1,,,579,2023-03-02
102,Botswana,"329,727",,"2,801                                ",,"326,868",,58,1,"135,070","1,147","2,026,898","830,300","2,441,162 ",Africa,7,872,1,,,24,2023-03-02
103,Luxembourg,"297,757",,"1,133                                ",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371 ",Europe,2,567,0,,,"11,883",2023-03-02
104,Montenegro,"288,361",,"2,804                                ",,"284,815",,742,6,"459,210","4,465","2,717,787","4,328,031","627,950 ",Europe,2,224,0,,,"1,182",2023-03-02
105,Brunei ,"278,698",,225                                ,,"243,601",,"34,872",3,"625,682",505,"717,784","1,611,437","445,431 ",Asia,2,"1,980",1,,,"78,288",2023-03-02
106,Algeria,"271,448",,"6,881                                ",,"182,794",,"81,773",,"5,986",152,"230,861","5,091","45,350,148 ",Africa,167,"6,591",196,,,"1,803",2023-03-02
107,Nigeria,"266,598",,"3,155                                ",,"259,917",,"3,526",11,"1,230",15,"5,708,974","26,339","216,746,934 ",Africa,813,"68,700",38,,,16,2023-03-02
